URL,店名,住所,基本料金,新宿区,新宿区外,電話番号,営業時間,取得日時
https://yoasobi-heaven.com/ja/tokyo/A1304/robo-deli/,System Maintenance,不明,不明,,,不明,不明,2025-03-25 07:21:52
https://yoasobi-heaven.com/ja/tokyo/A1304/another-shop/,System Maintenance,不明,不明,,,不明,不明,2025-03-25 07:21:52
