取得日時,URL,店名,住所,電話番号,営業時間,基本料金,新宿区,新宿区外
2025-04-01 16:30:00,https://yoasobi-heaven.com/ja/tokyo/A1304/robo-deli/,ロボットデリヘル,新宿・大久保・高田馬場・中野,03-6265-9566,12:00～5:00,"60分 27,000円～",新宿区：1000円,新宿区外：2000円～
2025-04-01 16:30:00,https://yoasobi-heaven.com/ja/tokyo/A1304/another-shop/,Not Found,不明,不明,不明,不明,不明,不明
